district,region,date,mean_rainfall
Karenga,Northern,1981-04-01,105.51649305555556
Kasese,Western,1981-04-01,165.74360795454547
Kassanda,Central,1981-04-01,143.90974934895834
Katakwi,Eastern,1981-04-01,152.5366606841216
Kayunga,Central,1981-04-01,210.88201032366072
Kazo,Western,1981-04-01,160.3515625
Kibaale,Western,1981-04-01,203.1787373310811
Kiboga,Central,1981-04-01,200.1943359375
Kibuku,Eastern,1981-04-01,223.79781901041667
Kikuube,Western,1981-04-01,172.52213887965425
Kiruhura,Western,1981-04-01,157.25882892219389
Kiryandongo,Western,1981-04-01,198.14200367647058
Kisoro,Western,1981-04-01,157.9760945638021
Kitagwenda,Western,1981-04-01,178.74832286005434
Kitgum,Northern,1981-04-01,142.58879430970148
Koboko,Northern,1981-04-01,118.8436787923177
Kole,Northern,1981-04-01,187.11318674395162
Kotido,Northern,1981-04-01,96.93246822033899
Kumi,Eastern,1981-04-01,210.5529296875
Kwania,Northern,1981-04-01,204.4178093112245
Kween,Eastern,1981-04-01,160.0592373934659
Kyankwanzi,Central,1981-04-01,185.2361056170886
Kyegegwa,Western,1981-04-01,177.52141584429825
Kyenjojo,Western,1981-04-01,190.47433035714286
Kyotera,Central,1981-04-01,211.0155029296875
Lamwo,Northern,1981-04-01,145.49494615112994
Lira,Northern,1981-04-01,185.0370876736111
Luuka,Eastern,1981-04-01,203.34912109375
Luwero,Central,1981-04-01,200.36968169341216
Lwengo,Central,1981-04-01,166.4812442555147
Lyantonde,Central,1981-04-01,161.9942248114224
Madi Okollo,Northern,1981-04-01,143.96440648320896
Manafwa,Eastern,1981-04-01,232.05716378348214
Maracha,Northern,1981-04-01,122.92205403645833
Masaka,Central,1981-04-01,178.12007592429578
Masindi,Western,1981-04-01,192.22189405487805
Mayuge,Eastern,1981-04-01,179.79512928650442
Mbale,Eastern,1981-04-01,215.1531982421875
Mbarara,Western,1981-04-01,140.90574951171874
Mitooma,Western,1981-04-01,139.8473690257353
Mityana,Central,1981-04-01,146.4846145341981
Moroto,Northern,1981-04-01,63.22454623518319
Moyo,Northern,1981-04-01,-427.0979817708333
Mpigi,Central,1981-04-01,130.95354352678572
Mubende,Central,1981-04-01,169.591796875
Mukono,Central,1981-04-01,149.92046790994624
Nabilatuk,Northern,1981-04-01,113.3349609375
Nakapiripirit,Northern,1981-04-01,129.14119363132912
Nakaseke,Central,1981-04-01,220.17110770089286
Nakasongola,Central,1981-04-01,232.79096467391304
Namayingo,Eastern,1981-04-01,178.75789689429013
Namisindwa,Eastern,1981-04-01,235.62679036458334
Namutumba,Eastern,1981-04-01,238.96978081597223
Napak,Northern,1981-04-01,97.81291470462328
Nebbi,Northern,1981-04-01,126.29042376893939
Ngora,Eastern,1981-04-01,220.4993359375
Ntoroko,Western,1981-04-01,-55.81906525985055
Ntungamo,Western,1981-04-01,123.22801254734848
Nwoya,Northern,1981-04-01,176.52265376194268
Obongi,Northern,1981-04-01,154.6556351273148
Omoro,Northern,1981-04-01,197.0283203125
Otuke,Northern,1981-04-01,178.70093677662038
Oyam,Northern,1981-04-01,185.82878521126761
Pader,Northern,1981-04-01,179.20001446759258
Pakwach,Northern,1981-04-01,136.21610383064515
Pallisa,Eastern,1981-04-01,230.00146484375
Rakai,Central,1981-04-01,184.03314784787736
Rubanda,Western,1981-04-01,151.0230158025568
Rubirizi,Western,1981-04-01,154.1163105867347
Rukiga,Western,1981-04-01,149.48016826923077
Rukungiri,Western,1981-04-01,128.21703125
Rwampara,Western,1981-04-01,152.30390625
Serere,Eastern,1981-04-01,221.23874551741804
Sheema,Western,1981-04-01,150.66958220108697
Sironko,Eastern,1981-04-01,207.048828125
Soroti,Eastern,1981-04-01,207.73526845079786
Ssembabule,Central,1981-04-01,153.10220052083332
Tororo,Eastern,1981-04-01,249.59813133445945
Wakiso,Central,1981-04-01,141.36759810014203
Yumbe,Northern,1981-04-01,129.45675223214286
Zombo,Northern,1981-04-01,-210.69655845905172
Abim,Northern,1981-05-01,100.24647588315217
Adjumani,Northern,1981-05-01,126.47495745668317
Agago,Northern,1981-05-01,99.86818998893806
Alebtong,Northern,1981-05-01,110.58256935586735
Amolatar,Northern,1981-05-01,104.64669363839286
Amudat,Northern,1981-05-01,62.49505269752358
Amuria,Eastern,1981-05-01,106.31095023777173
Amuru,Northern,1981-05-01,127.23637907608696
Apac,Northern,1981-05-01,109.89282640360169
Arua,Northern,1981-05-01,131.5508076435811
Budaka,Eastern,1981-05-01,131.45506068638392
Bududa,Eastern,1981-05-01,140.912841796875
Bugiri,Eastern,1981-05-01,148.0637335526316
Bugweri,Eastern,1981-05-01,146.48448768028845
Buhweju,Western,1981-05-01,118.2879971590909
Buikwe,Central,1981-05-01,179.95853678385416
Bukedea,Eastern,1981-05-01,120.76138883023648
Bukomansimbi,Central,1981-05-01,171.78874126233552
Bukwo,Eastern,1981-05-01,115.78678385416667
Bulambuli,Eastern,1981-05-01,123.14850408380681
Buliisa,Western,1981-05-01,-34.926816114738806
Bundibugyo,Western,1981-05-01,156.93260091145834
Bunyangabu,Western,1981-05-01,150.053662109375
Bushenyi,Western,1981-05-01,107.63609095982143
Busia,Eastern,1981-05-01,172.65083821614584
Butaleja,Eastern,1981-05-01,133.3131103515625
